PS C:\Users\Aditya Pramod Pawar\Neural_Networks_from_scratch> & "C:/Users/Aditya Pramod Pawar/AppData/Local/Microsoft/WindowsApps/python3.11.exe" "c:/Users/Aditya Pramod Pawar/Neural_Networks_from_scratch/simple_Neural_Network_Two_moons_test.py"
Epoch 0/10000, Error: 0.3950627026325366
Epoch 100/10000, Error: 0.00037759031174398313
Epoch 200/10000, Error: 3.626294058127112e-06
Epoch 300/10000, Error: 7.457101302010447e-08
Epoch 400/10000, Error: 1.779108215262302e-09
Epoch 500/10000, Error: 1.63300345035185e-10
Epoch 600/10000, Error: 5.5689319538575415e-11
Epoch 700/10000, Error: 3.1202588732212027e-11
Epoch 800/10000, Error: 2.1349961065569783e-11
Epoch 900/10000, Error: 1.6063834579914744e-11
Epoch 1000/10000, Error: 1.2848076468010259e-11
Epoch 1100/10000, Error: 1.0682714195116641e-11
Epoch 1200/10000, Error: 9.134754545654487e-12
Epoch 1300/10000, Error: 7.958921934065604e-12
Epoch 1400/10000, Error: 7.060756398202745e-12
Epoch 1500/10000, Error: 6.329052029124829e-12
Epoch 1300/10000, Error: 7.958921934065604e-12
Epoch 1300/10000, Error: 7.958921934065604e-12
Epoch 1400/10000, Error: 7.060756398202745e-12
Epoch 1300/10000, Error: 7.958921934065604e-12
Epoch 1400/10000, Error: 7.060756398202745e-12
Epoch 1500/10000, Error: 6.329052029124829e-12
Epoch 1600/10000, Error: 5.73631743751697e-12
Epoch 1700/10000, Error: 5.248399990355617e-12
Epoch 1800/10000, Error: 4.8328301943949125e-12
Epoch 1900/10000, Error: 4.475925012433588e-12
Epoch 2000/10000, Error: 4.167643501959925e-12
Epoch 2100/10000, Error: 3.8982775263548605e-12
Epoch 2200/10000, Error: 3.662398634863056e-12
Epoch 2300/10000, Error: 3.4530336422060203e-12
Epoch 2400/10000, Error: 3.2652296878312374e-12
Epoch 2500/10000, Error: 3.0971084884408637e-12
Epoch 2600/10000, Error: 2.9451302304809687e-12
Epoch 2700/10000, Error: 2.807315268561679e-12
Epoch 2800/10000, Error: 2.6815481536128722e-12
Epoch 2900/10000, Error: 2.5653792550491594e-12
Epoch 3000/10000, Error: 2.4595402883298762e-12
Epoch 3100/10000, Error: 2.3623882070222385e-12
Epoch 3200/10000, Error: 2.2715574353749946e-12
Epoch 3300/10000, Error: 2.1882137488739396e-12
Epoch 3400/10000, Error: 2.1099775509149434e-12
Epoch 3500/10000, Error: 2.037502245023609e-12
Epoch 3600/10000, Error: 1.9701165345631208e-12
Epoch 3700/10000, Error: 1.906193532788032e-12
Epoch 3800/10000, Error: 1.8469141001883155e-12
Epoch 3900/10000, Error: 1.7904568900687852e-12
Epoch 4000/10000, Error: 1.7374482682944657e-12
Epoch 4100/10000, Error: 1.6880156622322365e-12
Epoch 4200/10000, Error: 1.6408376071937944e-12
Epoch 4300/10000, Error: 1.596608711765109e-12
Epoch 4400/10000, Error: 1.5541114606069323e-12
Epoch 4500/10000, Error: 1.5139830497041112e-12
Epoch 4600/10000, Error: 1.4758590595136328e-12
Epoch 4700/10000, Error: 1.4397903228456752e-12
Epoch 4800/10000, Error: 1.4050877634075473e-12
Epoch 4900/10000, Error: 1.372020631127576e-12
Epoch 5000/10000, Error: 1.340390678639437e-12
Epoch 5100/10000, Error: 1.3107545117088973e-12
Epoch 5200/10000, Error: 1.2818695358687055e-12
Epoch 5300/10000, Error: 1.2544238835292742e-12
Epoch 5400/10000, Error: 1.2279386297105617e-12
Epoch 5500/10000, Error: 1.202526372349683e-12
Epoch 5600/10000, Error: 1.1782421171906967e-12
Epoch 5700/10000, Error: 1.1548297820658928e-12
Epoch 5800/10000, Error: 1.1323987447419164e-12
Epoch 5900/10000, Error: 1.110743671764289e-12
Epoch 6000/10000, Error: 1.0898643165628648e-12
Epoch 6100/10000, Error: 1.0697693576139338e-12
Epoch 6200/10000, Error: 1.0504022896504294e-12
Epoch 6300/10000, Error: 1.031825616949624e-12
Epoch 6400/10000, Error: 1.0138035029275477e-12
Epoch 6500/10000, Error: 9.964332432940953e-13
Epoch 6600/10000, Error: 9.79562834310257e-13
Epoch 6700/10000, Error: 9.633212197289403e-13
Epoch 6800/10000, Error: 9.475859095714899e-13
Epoch 6900/10000, Error: 9.323216223242762e-13
Epoch 7000/10000, Error: 9.175653096243127e-13
Epoch 7100/10000, Error: 9.032202664873652e-13
Epoch 7200/10000, Error: 8.892101315532375e-13
Epoch 7300/10000, Error: 8.757756586120299e-13
Epoch 7400/10000, Error: 8.62717236319156e-13
Epoch 7500/10000, Error: 8.500507635982519e-13
Epoch 7600/10000, Error: 8.377140118698061e-13
Epoch 7700/10000, Error: 8.256093922862726e-13
Epoch 7800/10000, Error: 8.140484567612675e-13
Epoch 7900/10000, Error: 8.027252132159941e-13
Epoch 8000/10000, Error: 7.917424149377607e-13
Epoch 8100/10000, Error: 7.80955084342132e-13
Epoch 8200/10000, Error: 7.704970862473077e-13
Epoch 8300/10000, Error: 7.603009717790292e-13
Epoch 8400/10000, Error: 7.504068905059782e-13
Epoch 8500/10000, Error: 7.407686964922568e-13
Epoch 8600/10000, Error: 7.313025884167832e-13
Epoch 8700/10000, Error: 7.221434565833101e-13
Epoch 8800/10000, Error: 7.131596800499068e-13
Epoch 8900/10000, Error: 7.044016900279078e-13
Epoch 9000/10000, Error: 6.959500611021426e-13
Epoch 9100/10000, Error: 6.875526958419163e-13
Epoch 9200/10000, Error: 6.794177082484705e-13
Epoch 9300/10000, Error: 6.714767146325561e-13
Epoch 9400/10000, Error: 6.637280661051834e-13
