PS C:\Users\Aditya Pramod Pawar\Neural_Networks_from_scratch> & "C:/Users/Aditya Pramod Pawar/AppData/Local/Microsoft/WindowsApps/python3.11.exe" "c:/Users/Aditya Pramod Pawar/Neural_Networks_from_scratch/simple_Neural_Network.py"
Epoch 0, Error: 2.0685908794570858
Epoch 1000, Error: 0.024940347652816386
Epoch 2000, Error: 0.0017973408699587963
Epoch 3000, Error: 0.00022469991357610932
Epoch 4000, Error: 3.410727415134071e-05
Epoch 5000, Error: 1.3655620568807522e-05
Epoch 6000, Error: 8.378723001558621e-06
Epoch 7000, Error: 6.099047630910363e-06
Epoch 8000, Error: 4.850732841363445e-06
Epoch 9000, Error: 4.045232048106148e-06
Epoch 10000, Error: 3.466853149358891e-06
Epoch 11000, Error: 3.0418767050421947e-06
Epoch 12000, Error: 2.7053779955872313e-06
Epoch 13000, Error: 2.4392916427312982e-06
Epoch 14000, Error: 1.2931518448372502e-05
Epoch 15000, Error: 2.037169035003106e-06
Epoch 16000, Error: 1.881762086802155e-06
Epoch 17000, Error: 1.7487426962702814e-06
Epoch 18000, Error: 1.633599427767784e-06
Epoch 19000, Error: 1.5318719344350865e-06
Epoch 20000, Error: 1.4435976946129532e-06
Epoch 21000, Error: 1.6872246593285112e-06
Epoch 22000, Error: 1.2933168127720978e-06
Epoch 23000, Error: 1.229769491029645e-06
Epoch 24000, Error: 1.1712949888708697e-06
Epoch 25000, Error: 1.119209822595742e-06
Epoch 26000, Error: 1.0708300194244875e-06
Epoch 27000, Error: 1.0272450477936283e-06
Epoch 28000, Error: 7.713065824551751e-06
Epoch 29000, Error: 9.491384019606377e-07
Epoch 30000, Error: 9.145646795629505e-07
Epoch 31000, Error: 8.820087067216202e-07
Epoch 32000, Error: 8.52491601440409e-07
Epoch 33000, Error: 8.317353414510062e-07
Epoch 34000, Error: 7.983621968131419e-07
Epoch 35000, Error: 8.862083605356332e-07
Epoch 36000, Error: 7.508494704270325e-07
Epoch 37000, Error: 1.7072772742621822e-06
Epoch 38000, Error: 7.086938741534055e-07
Epoch 39000, Error: 8.083869006707297e-07
Epoch 40000, Error: 6.711107506679336e-07
Epoch 41000, Error: 2.1904197355122245e-06
Epoch 42000, Error: 6.374698914244744e-07
Epoch 43000, Error: 6.278995596459665e-07
Epoch 44000, Error: 6.069992023880108e-07
Epoch 45000, Error: 5.931148986518404e-07
Epoch 46000, Error: 5.795686625849051e-07
Epoch 47000, Error: 5.66856709244248e-07
Epoch 48000, Error: 5.544031887029905e-07
Epoch 49000, Error: 5.428625585377835e-07
Epoch 50000, Error: 5.313689606366418e-07
Epoch 51000, Error: 5.20815751050862e-07
Epoch 52000, Error: 5.106560756879296e-07
Epoch 53000, Error: 5.006075916222576e-07
Epoch 54000, Error: 4.955129209751463e-07
Epoch 55000, Error: 4.818918975293776e-07
Epoch 56000, Error: 4.7324048185963983e-07
Epoch 57000, Error: 4.686446714099731e-07
Epoch 58000, Error: 4.565555408326951e-07
Epoch 59000, Error: 4.4878120452029433e-07
Epoch 60000, Error: 4.410528295957421e-07
Epoch 61000, Error: 4.3385959171590584e-07
Epoch 62000, Error: 4.265816663464159e-07
Epoch 63000, Error: 4.1995811980030067e-07
Epoch 64000, Error: 4.148516906984183e-07
Epoch 65000, Error: 4.069489305632682e-07
Epoch 66000, Error: 4.0086815175011446e-07
Epoch 67000, Error: 3.9468927417138246e-07
Epoch 68000, Error: 3.890711812412642e-07
Epoch 69000, Error: 3.832925333096477e-07
Epoch 70000, Error: 3.780139681819758e-07
Epoch 71000, Error: 3.7279590312200204e-07
Epoch 72000, Error: 3.674893472232969e-07
Epoch 73000, Error: 3.625993294933206e-07
Epoch 74000, Error: 3.5762491610482984e-07
Epoch 75000, Error: 3.5303271010093934e-07
Epoch 76000, Error: 3.48283753803809e-07
Epoch 77000, Error: 3.440186302774597e-07
Epoch 78000, Error: 3.395368047890932e-07
Epoch 79000, Error: 3.3547017484068663e-07
Epoch 80000, Error: 3.329058580888921e-07
Epoch 81000, Error: 3.2730049212727015e-07
Epoch 82000, Error: 3.235165249853267e-07
Epoch 83000, Error: 3.196044090385834e-07
Epoch 84000, Error: 3.160517075289129e-07
Epoch 85000, Error: 3.123113672165556e-07
Epoch 86000, Error: 3.089499405940098e-07
Epoch 87000, Error: 3.0540074336606156e-07
Epoch 88000, Error: 3.021534925903467e-07
Epoch 89000, Error: 7.313280423184755e-06
Epoch 90000, Error: 2.9563744355752466e-07
Epoch 91000, Error: 2.927854243806993e-07
Epoch 92000, Error: 2.894832619744073e-07
Epoch 93000, Error: 2.8657456368974146e-07
Epoch 94000, Error: 2.8354841976896124e-07
Epoch 95000, Error: 2.8081224751418657e-07
Epoch 96000, Error: 2.7788251673572696e-07
Epoch 97000, Error: 2.753037487463339e-07
Epoch 98000, Error: 2.72482758703747e-07
Epoch 99000, Error: 2.7001318445610583e-07
